location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Denmark,202.4471507,230.1234247,243.8726575,263.7703279,316.1385479,350.7370959,346.8418082,365.7013388,341.3246027,308.552274,305.6690959,325.2157923,325.6340274,327.6019452,314.0335068,268.5710383,254.569863,220.5337534,209.6284658,206.9000273,213.958,211.2204932,195.846411,193.1189891,186.903726,183.6505753,186.4756164,184.6106831,193.4194795,205.1373699,214.8870685,233.5335519,226.5649315,219.5983288,218.1230959,210.6848087,202.8215068,196.1881644,188.3195068,184.8315847,187.1372329,190.2109041,191.1573699,188.0656557,169.3519726,170.9687945,168.4565205,158.3779235,157.998137,160.1290122,163.6110238,164.491956,0.005384308,-0.013345194,0.001703558
Finland,110.5699452,134.5030137,141.2494521,159.5106011,184.5926027,207.4605205,215.130274,227.9210383,254.9644384,223.2220274,231.321726,246.8856011,244.5709863,246.7836164,260.6389863,251.4652186,241.4735342,224.3267671,209.2346027,211.6359836,214.7459178,225.1177534,225.9098356,225.1445902,225.711589,233.1597534,231.6485479,227.7233607,219.0498904,228.1154521,211.9673973,214.9427869,212.9874521,223.9796438,225.9357534,224.287377,220.846137,226.913863,236.4374795,222.4208743,230.3646376,223.3687032,225.8470749,223.4083836,211.79459,221.9222548,204.368483,193.4609188,191.3225652,182.72289,184.2792565,188.9931077,0.025579934,-0.02207384,0.001957304
France,1065.496767,1145.222521,1315.156712,1418.657268,1641.933479,1860.037836,2022.416932,2237.728333,2499.07937,2374.834164,2181.478877,2349.020492,2272.066986,2398.825041,2388.385644,2219.989344,2023.296877,1883.315808,1849.98063,1786.54806,1769.061781,1809.704986,1824.201753,1807.440792,1857.161397,1894.606192,2001.128192,1995.718415,1925.516027,1864.233753,1879.298986,1916.487186,1936.284274,2002.538192,2030.202356,1994.095902,2009.877315,1953.404055,1951.501096,1963.277814,1946.151559,1942.247992,1911.417784,1889.152224,1822.304373,1762.871797,1730.210444,1676.386792,1664.49691,1616.401452,1616.485072,1601.568335,-0.009227884,-0.018388802,0.016586617
Germany,1708.631507,1915.967945,1997.305973,2233.023361,2520.928247,2765.050356,2888.109123,3036.930929,3249.325973,2956.806658,2874.848932,3097.394098,3072.845041,3229.590411,3336.600658,3014.441995,2753.703562,2608.492986,2564.03789,2555.174372,2643.495836,2778.549616,2719.681041,2723.180847,2571.505699,2684.624767,2810.176192,2827.134536,2881.443945,2859.072849,2860.302712,2900.264344,2895.468767,2897.941616,2805.928356,2745.894945,2786.807151,2696.603178,2648.152685,2619.02082,2591.502603,2609.169068,2380.416192,2502.10082,2408.755534,2444.853041,2368.729397,2355.776667,2408.071479,2347.810548,2339.80326,2394.476814,0.023366731,-0.010165084,0.024798361
Greece,84.77063014,92.82145205,109.2129863,112.2417213,119.9482192,129.8523014,143.3420822,164.9010656,192.4408767,179.702274,190.9685753,203.190929,208.2094521,228.0138356,240.8832329,246.010082,231.4971781,236.5924658,226.7710959,232.0904918,241.9347397,244.3946301,265.4282466,273.285847,297.5836712,298.3509863,302.9099178,308.4019672,315.6735616,325.6124658,337.6799178,353.9485246,360.8726849,379.9263014,367.7507671,383.7898087,393.226137,394.7236986,414.5502466,408.6333333,411.9479452,434.3244658,435.447863,414.2197541,398.4279452,369.2075616,347.8955342,312.2820765,294.9965753,293.8585753,305.8595333,313.4362921,0.024772021,-0.029338134,0.003246098
Hungary,73.12246575,80.92452055,86.06065753,90.22863388,101.0116986,117.526274,132.6987123,144.0687705,163.1053151,178.3537808,202.5350959,212.4711475,225.9172329,249.2615616,236.2134247,230.5130601,221.3954795,210.487863,199.9566849,207.731612,212.1350137,197.3965479,206.5548767,192.3443169,188.3654795,195.4628493,166.2792329,168.2515027,160.099726,166.942274,156.831726,145.3361202,148.0918082,154.6684932,148.5550137,143.5581694,140.9261096,139.2524658,131.3061644,135.852377,157.782274,168.3016712,168.4025205,163.6838798,153.5430411,146.1403014,138.5267249,128.5552311,129.2542865,143.6719237,153.0820131,154.4344135,0.008834483,-0.003019658,0.001599398
Ireland,46.54926027,52.16947945,58.4850137,64.80642077,70.94257534,79.3459726,87.80673973,96.2234153,104.4561096,103.4635342,101.2812877,102.6697814,110.1294521,119.8670685,125.5007123,112.9764481,101.447726,89.92838356,81.78830137,80.18978142,80.24208219,97.85016438,86.668,79.50396175,82.12975342,90.39663014,98.72139726,103.0019945,104.6187671,113.8393151,116.2261644,121.8961749,133.1281918,148.8565479,168.2879452,166.5792896,181.5268219,178.6300822,174.6584658,180.5121858,190.6624384,191.0222466,194.9567945,187.2256557,166.3839288,158.4352329,143.0033151,134.6749727,136.7617808,135.5273699,142.4551781,146.5736693,0.028910786,-0.028727014,0.001517988
Italy,978.9859178,1079.86211,1198.532904,1318.665055,1462.603644,1658.888027,1789.873918,1885.621803,1982.794603,1927.031014,1814.702548,1890.738579,1844.117507,1975.592438,2035.512712,1929.293224,1900.221452,1809.366329,1815.813068,1732.337951,1725.925945,1765.927671,1845.156493,1876.331612,1909.072411,1924.429699,1900.636137,1931.942678,1906.193397,1903.520082,1971.710849,1941.938552,1954.13674,1955.24326,1962.467534,1928.027951,1918.722027,1914.761479,1900.458027,1849.895383,1797.65977,1791.107589,1740.340312,1661.349607,1562.796427,1532.217375,1475.469048,1345.842651,1259.571036,1184.09967,1221.713819,1232.362658,0.008716312,-0.037886743,0.012762944
Kazakhstan,,,,,,,,,,,,,,,,,,,,,421.0572877,384.1109315,371.7882192,372.8337705,382.0365753,440.6210684,444.9297682,414.8811475,320,247.1016438,242.440274,204.8872951,206.9806849,172.1371233,143.8756164,146.8997541,156.8646849,169.4351233,182.6174795,188.5491519,193.1908005,220.5919334,241.5190435,241.1560202,198.9074781,211.2545165,243.6794817,245.1367234,260.3033572,265.448655,288.5991642,286.8197753,-0.006165607,0.040952381,0.002970444
Lithuania,,,,,,,,,,,,,,,,,,,,,167.1679726,139.9134795,153.5806575,147.3204645,151.6135068,144.9811233,159.5637534,83.69846995,72.74676712,67.11394521,62.05884932,63.96224044,64.42230137,73.34769863,61.09323288,47.98650273,54.75663014,51.46293151,49.7480274,53.35998634,57.14108767,57.95915342,58.37846575,62.78915301,53.63826575,55.07640548,53.35261918,54.5989918,53.2502274,52.58776164,57.10100822,60.81032787,0.064960668,-7.02E-05,0.000629781
Netherlands,477.891863,521.7595342,533.5627123,572.5233333,625.2228219,699.7463014,695.6861918,776.9110109,808.2010411,697.9767945,687.9018082,771.3645902,744.1610959,774.948589,838.5484658,779.5431148,725.9287945,640.2225205,609.9706986,611.5197541,621.795411,685.2705342,691.5326849,726.660235,719.5982877,757.6664384,734.4396164,779.6115464,770.5364795,775.4466301,808.8327671,795.5580546,837.4767397,842.604726,866.589137,882.3364973,927.7609315,934.2523562,945.5832329,983.0572623,1039.016991,1046.555506,1065.08011,991.4888149,971.2144658,976.980411,971.2680274,925.6559563,898.3204031,866.3847541,834.7655684,850.9794557,0.019423282,-0.021650139,0.008813155
Norway,99.44945205,112.0144932,116.5856712,129.5319126,142.9521918,161.0060822,160.1228493,167.5114481,171.9394795,156.366,162.4249041,178.5386066,176.6496438,200.4725205,199.8266027,198.8402459,186.3688493,180.1328767,176.1453699,185.4303279,195.1955616,205.9494795,209.3292603,196.3494262,197.7769863,202.0087123,187.3029315,191.8680874,204.781726,207.827863,203.6778904,216.5585519,219.9872055,221.1393014,218.3699726,201.5505191,223.2730959,215.5259452,231.6247397,220.9416774,223.6689288,229.1716519,237.4752068,227.6101955,237.298356,234.9491507,239.0450444,235.4595397,243.2289303,232.4372115,237.6112994,241.5435983,0.016549292,0.006065238,0.002501542
Poland,108.7452877,113.8916712,124.1843288,154.3977596,170.2705753,181.1376986,191.0399178,213.606694,238.1097534,250.0019452,271.6142466,298.0570219,320.0443562,342.8219178,349.1265753,346.719071,325.0694247,307.3023562,318.6587945,325.9761475,332.0439178,344.2669863,349.211589,356.7948634,356.4168767,325.3535342,308.3910959,284.6863115,291.995589,309.2601096,316.5301644,369.919011,388.4329358,439.6550935,463.122078,426.1856246,419.3563422,429.6000269,440.9394572,469.4965728,487.1026908,512.0546849,530.5727671,549.2278689,548.7341096,576.4310959,574.0694795,553.3822678,520.4686575,520.7356164,541.4568219,589.0330055,0.087866994,0.01063499,0.006100311
Portugal,50.25331507,51.66654795,56.9159726,60.9576776,64.53912329,91.52404479,103.560019,112.3871475,123.7879981,131.2451353,137.7177697,143.5558293,143.0993927,148.0749788,157.8787793,167.8385351,177.4190355,187.0261879,187.7393573,187.7765493,185.004354,198.2636253,194.1665872,205.5514465,253.5291354,243.961904,252.6877121,279.8640161,267.3981194,273.6991507,294.4845462,282.2547149,302.8307144,327.5435576,337.6741484,330.8789888,330.3187625,342.0552959,323.7902288,326.9741933,336.1514187,301.8854458,307.0280015,291.2709464,272.8145927,271.4269037,254.7044112,229.8040965,238.8126914,238.3770104,244.5164427,236.0362168,-0.034681618,-0.031326738,0.002444505
Romania,142.549589,148.9004384,169.9727397,180.3346175,200.2961096,217.6071507,221.9244384,235.9686885,265.1963014,244.4071233,278.6043562,310.031694,332.5856164,365.7751781,387.1330137,365.7066393,327.974,325.0569863,291.266274,278.7082514,295.0692055,314.3014247,346.6175616,324.3755738,335.8362466,363.1155342,299.9879452,252.3435519,235.0137534,219.4689863,266.6424658,252.570929,267.694,235.8936986,190.4627123,197.0300546,210.9894247,219.8084384,194.1743288,223.3929235,217.5801096,213.9591781,218.2331233,216.1762568,195.3184384,184.1886849,191.020411,191.1179781,174.075726,187.0983014,190.8033425,196.8448053,0.031663297,-0.013046529,0.00203862
Russian Federation,,,,,,,,,,,,,,,,,,,,,4943.678384,5006.31063,5050.794877,5000.701612,5111.449288,5042.2818,4917.050011,4698.916366,3928.360685,3485.981836,3058.016888,2623.976477,2630.121663,2489.813655,2567.796825,2539.939947,2627.810768,2543.742611,2652.57617,2619.703741,2647.283468,2762.223384,2780.093616,2860.849485,2774.552635,2877.74763,3073.633255,3119.146131,3134.789037,3298.537343,3136.676784,3203.050599,0.021160553,0.017107677,0.033172342
Slovakia,44.88109589,49.35789041,54.86882192,60.6936612,65.22323288,78.57410959,86.9109863,94.64879781,106.2953425,108.6268219,119.580411,125.7159016,132.0361918,136.7233425,139.0528493,129.1355464,127.8223014,118.4572877,116.0576712,123.9665574,123.1829863,120.2453699,117.3696712,115.0484699,115.1526849,99.60068493,87.92252055,80.12581967,66.69241096,69.61361644,68.48421918,71.28860656,71.87257534,80.23838356,73.24082192,73.37322404,67.39021918,74.61443836,70.40063014,66.78819672,80.07421918,71.80013699,76.44906849,82.13543716,78.56849315,81.66808219,80.918,74.18360656,74.94673973,70.91194521,76.8390137,83.3497541,0.084732222,-0.004115652,0.00086321
Spain,268.4641644,318.8386575,387.6718904,411.1241257,469.0139178,534.0148767,593.2547671,622.7146995,745.2465753,775.6787397,813.8866027,920.087623,879.0899726,930.0054521,992.3895068,1042.79959,1016.378575,969.2519178,988.2174795,939.6122131,914.2142192,909.2632877,944.4017808,975.6000546,1024.124986,972.2456712,993.4835342,1100.096995,1036.989671,1070.882,1176.029753,1201.898072,1254.143419,1356.722348,1405.096785,1420.482873,1483.286844,1492.611518,1539.333185,1575.129467,1593.22081,1591.898317,1613.457531,1557.650004,1472.701267,1446.232378,1377.587009,1290.842514,1194.935194,1190.636931,1237.274657,1267.797948,0.024669778,-0.024967673,0.013129929
Sweden,367.9547945,415.5165479,407.6505205,456.6480601,515.5266575,560.5647397,529.9393425,545.1275137,567.5756164,508.047863,509.8987945,563.0721585,545.1758082,529.5967397,552.0841096,491.8063497,448.5092466,422.8440411,378.7880274,364.5122077,389.5284247,407.0525205,378.3769041,364.3940656,362.2898904,362.8433425,345.5682466,365.9027978,353.5907397,375.7962055,359.9758082,384.8872077,359.1370822,361.4963973,356.9192329,333.606776,338.1007945,349.0467945,367.0867397,361.9660656,357.5356986,358.0926575,357.130137,349.5694262,322.6705479,336.4064567,311.5301103,308.6546448,306.2903014,307.9231781,300.0558396,313.1054195,0.043490505,-0.017373964,0.003242671
Switzerland,164.1886849,174.7298082,188.0065753,207.6040164,226.4303836,253.7187671,269.5059726,275.5706284,297.2843836,265.0938082,255.994411,265.314235,267.521589,277.5800548,266.4092329,265.9062022,247.4791781,234.4399726,256.3693425,247.9230055,253.4088767,276.4779452,261.1885205,261.7769672,252.284137,270.1974795,274.9482466,278.2265027,261.5937534,269.9397808,250.541863,258.9011749,273.2674521,276.6614521,268.9318082,260.2568306,278.264,264.2436986,257.0350137,255.0115574,259.9010859,266.0192645,240.6638323,255.5275965,259.829181,241.7165181,234.5001364,238.0033851,249.1104043,224.1798208,227.5682053,215.6261084,-0.052477001,-0.013197255,0.002233128
Turkey,69.37386301,82.81221918,97.02052055,116.565847,129.4395068,136.2206575,160.3537808,181.1134153,222.6339726,216.1840822,240.46,270.3786885,308.371726,338.3984932,302.5853699,306.4307377,303.6469589,324.463726,342.9591233,340.3880601,358.8654521,391.3651781,443.5250685,475.3810656,447.4069863,476.1954795,465.0753151,489.8143443,562.8303288,540.0376164,606.3245753,631.5478415,627.6640548,630.378137,629.1462466,666.5101366,617.7747945,655.2392055,644.5521096,662.0360109,657.7125205,681.299863,695.3436986,685.5529508,709.163863,693.6440822,672.7665205,680.3813115,718.3605479,740.896,838.568599,885.9503355,0.056503113,0.02459032,0.00917533
Turkmenistan,,,,,,,,,,,,,,,,,,,,,95.55807436,69.63997867,69.64461617,69.48481826,69.69135875,93.34941607,103.826262,97.92163934,58.8380274,59.95367123,54.80369863,64.09557377,63.5239726,82.08147945,89.41252055,87.13101093,84.44657534,96.37923288,109.6450685,109.3669399,108.9747945,105.3368493,111.1460274,113.5956284,106.2294521,117.9220548,124.6338356,129.3892077,137.370137,143.2779452,146.7422401,147.9699727,0.008366593,0.030203233,0.001532449
